,Details,Superficie,Adresse,Prix,Image_lien-src
69,A vendre un terrain bail,300 m²,Toubab Dialaw Thiès,8 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e8bcd8a633508c54ea0aeae8bc960e0c/-/horizon-files-prod/ed/picture/qwepjekj/0bc872e68548cd7d36d5a7058d3299953f236ae8.jpg
70,Parcelles de terrain à vendre à Nguerigne,600 m²,Nguering Thiès,24 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4794d4a1e50036b6a9d8c26d2d5b45ac/-/horizon-files-prod/ed/picture/qngp2vdw/f2285471fb7cc62557da385c91e2ff126f77f52f.jpg
71,Lotissement à diass,180 m²,Diass Thiès,3 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7f8a07542e946b0734bf440a7a46228c/-/horizon-files-prod/ed/picture/q9mjgkkn/5692557048957f5a46a19bae7fe77c393360c639.jpg
72,100 hectares à bambilor,,Bambilor Dakar,16 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b6aada0cb6d17790a96e18e88a254513/-/horizon-files-prod/ed/picture/q6xdqpqd/92dcd4c62e6f4b822570e241a107dfac52814465.jpg
73,Terrain 2 hectares 800 noflaye,"28,000 m²",Noflaye Dakar,45 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ce1edded4251cb575ffd22b88768b93f/-/horizon-files-prod/ed/picture/q8v59kj6/19089c02221105893df5394a7e11bf6bd3d3e9c8.jpg
74,terrain industriel,"7,187 m²",Kounoune Dakar,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/353d55283715ab3ceb823c01bad5dbcd/-/horizon-files-prod/ed/picture/q8v4n78j/9696eb17c0a09a0bcebffbbf00ea8f0a229be541.png
75,Coopérative keur issa possibilité de payer sur 20 mois,180 m²,Thiès Thiès,1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2fb16780b88a361305c7ded8027f9330/-/horizon-files-prod/ed/picture/q9m96qj6/f55d16eb7d89787a11dcedc8e16cefafd86b18ff.jpg
76,Promo magal terrain à djibril mbengue,210 m²,Thiès Thiès,500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/885e68566b0890039e754e5da8645bd8/-/horizon-files-prod/ed/picture/qngpppek/3c48a92b3e5e8c1938b7da109b56335008063d7a.jpg
77,Terrain avec bail à vendre à Nguerigne,519 m²,Nguering Thiès,42 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/20ef48fab60c772d96a5af42e9f19d06/-/horizon-files-prod/ed/picture/qgqwqq99/bde97e202d82ffc8df72e818a3dcb7072a7d8d40.jpg
78,Terrains à vendre ndoukhoura diamniadio,180 m²,Diamniadio Dakar,2 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/20fb3cc3200da4991e0a6a43fd44dbd6/-/horizon-files-prod/ed/picture/q9mjwqwn/497d93a77bc555054359f17f201a85c0149fc654.jpg
79,A VENDRE: terrains à Niague-Lac Rose avec titre foncier,200 m²,Niague Dakar,20 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/36f41779711d60e04b57dfc825834f28/-/horizon-files-prod/ed/picture/q2j056gp/7f0b4997de48220f7ab7a2f9a205f5884e4cfa3f.png
80,Terrain semi-clôturé de 594m2 à vendre à Ngaparou,594 m²,Ngaparou Thiès,47 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/53bb0da55f97c45a87c9ce2a32d9bb87/-/horizon-files-prod/ed/picture/qm5gdek6/6c70e72109eab97be0ce358cfeda4f6256eac3cb.jpg
81,Champ agricole plus forage et bâtiment,"50,000 m²",Tivaouane Thiès,10 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/866fa0a5da7c2e06a48833768cef2a5c/-/horizon-files-prod/ed/picture/qv4wz45x/19b4ffde8beeebd70b4fef83c08dd8d65749cd50.jpg
82,Terrains à vendre a yenne- ndoukhoura peulh,150 m²,Yene Dakar,2 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/58d3b3eeca34120798695f18f4caf747/-/horizon-files-prod/ed/picture/qgqwzdj4/c95858d731cc6040d96d017de73ce81f5e66ad03.jpg
83,Terrain à vendre a tivaoune peulh TF,150 m²,Tivaouane peulh Dakar,12 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4c746f80bf2628a895a93b705d555211/-/horizon-files-prod/ed/picture/qm5gn5g2/2b364cf915e2942e57e72a13046d83d14dd95d81.png
84,TERRAIN A VENDRE,300 m²,Sicap mbao Dakar,45 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/79d9ec71dff466d2fe6e03a4c398dcfa/-/horizon-files-prod/ed/picture/qkr80jnp/dada8f0848092bf5405fb87675ae19f5d65d8ed8.png
