Details,Nombre_chambre,nombre_salle_bain,Superficie,Adresse,Prix,image_lien-src
Appartement a louer à sotrac mermoz,3,4,200,Mermoz Dakar,800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6106db07063206f04797c91b9e4058ae/-/horizon-files-prod/ed/picture/q9mjgpgj/ce75f510c9bd176f8debac7b4b3dd1d856503d4d.jpg
Splendide appartement F2 à Cheikh Amar,1,2,150,Mamelles Dakar,400000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5e2c5fe8ecacc01d12b6f1a546991c48/-/horizon-files-prod/ed/picture/qq426kzz/23101a42d0525a539484f884f04d60f411c64610.jpg
Magnifique DUPLEX à louer aux almadies avec vue mer,3,4,240,Almadies Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4099f2336823e8139c05d554d526f013/-/horizon-files-prod/ed/picture/q444znpz/91fa8971fcd91724e009401f6bb14b6647be8f0b.jpg
Magnifique duplex à louer aux ALMADIES,4,4,250,Almadies Dakar,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/91359f830fbe72e62b8ededd0217c844/-/horizon-files-prod/ed/picture/q44d8d7e/8559668d3d7411043e71690e115a48b97d6a321e.jpg
F3 A LOUER,2,2,100,Zac Mbao Dakar,175000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b315353b7d31682701fb3385edf6d93d/-/horizon-files-prod/ed/picture/q8v4gj8n/4e04d7d6524098848f60cdae503ca8ca80667f13.jpg
Appartement neuf à louer à la zone de captage,1,3,90,Zone de captage Dakar,200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d8845a1a8041741aad4298e8279f88c4/-/horizon-files-prod/ed/picture/q78wgezg/f2b4f92caac439fc4da6042027330dd744256844.jpg
Studio neuf à louer,1,3,80,Zone de captage Dakar,180000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/51bc02dd2801fc4811460736a117931e/-/horizon-files-prod/ed/picture/qq426pxk/1f313b9c2f6fd2e9d132a485253d568e1bcbc323.jpg
Magnifique Penthouse 340m² !!!,5,6,340,Mamelles Dakar,2850000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/99e46dd4cf2e3346ed475dade5b95662/-/horizon-files-prod/ed/picture/qkr8p47x/da3896dcc631f90cb94e9bc8b965be0d47bdfce0.jpg
Standing Appartement F4 dans la cité Mbackiyoufaye,3,3,150,Mamelles Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7fe620b54c56efceaff809547f4da67e/-/horizon-files-prod/ed/picture/qxjpg4j2/9bb692cbf2f1a230698d7c9a8263cc2e7b5160d5.jpg
Appartement à la cité keur damel,3,3,150,Cité Damel Dakar,330000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d7e54fbe7ab3971c4ea0f269cdae807c/-/horizon-files-prod/ed/picture/qrz852p2/43e5c1d7f8ebcbec82b25700bcb198ea0fbf191f.jpg
Appartement à louer à SIPRES MERMOZ,3,3,150,Mermoz Dakar,650000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/53c41d46007b846b878423a2b7441382/-eyJvciI6OTB9/horizon-files-prod/ed/picture/qenvp2n2/1c12c790aaef244ce81766b20ce12b11566ab56f.jpg
Appartement a la Cité Batrain,2,3,150,Mermoz Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dbfed1975aa2fe360e6787b351ff5bd4/-/horizon-files-prod/ed/picture/qq4265je/9785685d11dec13daee881c3147aee5d11caaea4.jpg
Appartement à louer,4,3,200,Ouest foire Dakar,450000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8e551b4e411f7c41e3f84bf2076c5c19/-/horizon-files-prod/ed/picture/qkrgnrx8/aebff31a4dbe0624a8adbd9297cb7491c3c96c8c.jpg
Appartement 2 chambres salon espace familiale Mamelles,3,3,150,Mamelles Dakar,350000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/31140f129ed44a4676192bd48e8e73cf/-/horizon-files-prod/ed/picture/q44n7d6v/a81e7419ef7c87c52b72b73751f65398c1d91f2b.jpg
Ref_2690_GL Appartement à louer aux Almadies,1,1,70,Almadies Dakar,950000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4cbfc8a5c94b74ffe2df3f219a35e392/-/horizon-files-prod/ed/picture/q0g7520g/74df3180bd6647efd081117f2ca25fd9527ddee6.jpg
Appartement F1 sacré cœur 3 à côté Boulangerie Jaune,3,2,1,Sacré-cœur Dakar,150000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1e537f49b080695c83c484bc5dee2669/-/horizon-files-prod/ed/picture/qkr825vv/1f4464d0ffdfdc105f758636b49b425bb6d3e850.jpg
F3 Yoff apecy,2,3,150,Yoff Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7a4d16abe4b271be2967c6b7f47bc61e/-/horizon-files-prod/ed/picture/qpdm2wrm/8abe86b4ef5384bbb9f6b0dca6656ecb9b150366.jpg
